lam,esp_10mev,esp_50mev,esp_100mev,esp_190mev,edp_10mev,edp_50mev,edp_100mev,edp_190mev
35.4,-3.9728161497961234,0.20829864974653436,2.843732883859242,4.278382864630725,4.935804228907926,21.80777587154366,30.113200212979653,34.76766911842501
35.5,-3.9728205064107045,0.20839976277550112,2.8439140150145095,4.27865888826878,4.935804513613786,21.807757560970852,30.113157958367434,34.76759328691902
35.6,-3.9728247942712214,0.20849958164068771,2.8440928273311834,4.278931399480233,4.935804793482777,21.807739482995604,30.11311624123822,34.76751841267081
35.7,-3.972829013791054,0.2085980856785612,2.8442692840199895,4.2792003406547545,4.935805068553245,21.807721641426706,30.11307507011992,34.76744451143649
35.8,-3.9728331653988493,0.20869525560211374,2.84444335075787,4.279465657985436,4.935805338830103,21.807704039777608,30.113034452713187,34.76737159812226
35.9,-3.9728372494840074,0.20879107352658008,2.844614995678339,4.279727301451047,4.935805604446712,21.807686681267015,30.11299439656499,34.76729968644749
36.0,-3.9728412665307715,0.20888552284824136,2.8447841892726142,4.279985224704836,4.935805865382815,21.80766956895122,30.11295490919796,34.767228789186944
36.1,-3.972845216895625,0.20897858840173542,2.8449509044869585,4.28023938513564,4.935806121691068,21.80765270569159,30.112915996429063,34.767158918099376
36.2,-3.972849101047694,0.20907025625072811,2.845115116544969,4.2804897436992615,4.935806373437254,21.80763609392352,30.11287766431756,34.7670900839138
36.3,-3.9728529194236697,0.20916051378654174,2.845276803005523,4.280736264939048,4.9358066206494815,21.80761973601322,30.11283991764817,34.76702229642624
36.4,-3.9728566724404746,0.20924934969423511,2.8454359437063688,4.280978916923778,4.935806863339713,21.807603634064165,30.112802761781296,34.7669555645083
36.5,-3.972860360538996,0.20933675390177497,2.8455925207254333,4.281217671172271,4.935807101588344,21.807587789903046,30.11276620086318,34.76688989593445
36.6,-3.9728639841359374,0.20942271759395695,2.845746518358585,4.281452502618382,4.935807335436475,21.80757220516363,30.112730237839806,34.766825297688094
36.7,-3.972867543677596,0.20950723315041267,2.845897923037148,4.28168338952757,4.935807564874541,21.80755688124955,30.11269487678851,34.76676177579869
36.8,-3.9728710396120865,0.2095902941452841,2.8460467233287883,4.281910313450167,4.935807789973966,21.807541819347925,30.112660119937093,34.76669933541578
36.9,-3.9728744724222613,0.20967189529785524,2.846192909864314,4.282133259143694,4.935808010834507,21.80752702043412,30.112625969776012,34.76663798067207
37.0,-3.972877842467622,0.20975203257541672,2.8463364754005185,4.282352214586642,4.935808227398631,21.807512485269687,30.112592427732682,34.766577715005035
37.1,-3.9728811502877583,0.209830702930257,2.8464774145861695,4.282567170769284,4.935808439738299,21.80749821444683,30.112559495363026,34.766518540967034
