lam,c0
34.9,-91.4998793196
35.0,-88.9619776321
35.1,-86.5913360874
35.2,-84.3711034405
35.3,-82.2866175863
35.4,-80.3250611044
35.5,-78.4751798637
35.6,-76.727051616
35.7,-75.0718945165
35.8,-73.5019077587
35.9,-72.0101382109
36.0,-70.5903682352
36.1,-69.2370208665
36.2,-67.9450792939
36.3,-66.7100181915
36.4,-65.5277449115
36.5,-64.394548926
36.6,-63.3070581987
36.7,-62.2622014026
36.8,-61.2571750901
36.9,-60.289415074
37.0,-59.3565714029
37.1,-58.4564864138
37.2,-57.5871754313
37.3,-56.7468097459
37.4,-55.9337015655
37.5,-55.1462906772
37.6,-54.3831325963
37.7,-53.6428880136
37.8,-52.9243133775
37.9,-52.2262524705
38.0,-51.5476288601
38.1,-50.8874391197
38.2,-50.2447467298
38.3,-49.6186765804
38.4,-49.0084100064
38.5,-48.4131802977
38.6,-47.8322686305
38.7,-47.2650003748
38.8,-46.7107417387
38.9,-46.1688967125
39.0,-45.6389042836
39.1,-45.1202358934
39.2,-44.6123931118
39.3,-44.1149055091
39.4,-43.6273287038
39.5,-43.1492425719
39.6,-42.6802496004
39.7,-42.2199733726
39.8,-41.7680571727
39.9,-41.3241626981
40.0,-40.8879688717
40.1,-40.4591707428
40.2,-40.0374784705
40.3,-39.6226163824
40.4,-39.2143221008
40.5,-38.812345733
40.6,-38.4164491177
40.7,-38.0264051249
40.8,-37.6419970045
40.9,-37.2630177784
41.0,-36.8892696749
41.1,-36.5205636
41.2,-36.156718644
41.3,-35.7975616199
41.4,-35.4429266321
41.5,-35.0926546723
41.6,-34.7465932405
41.7,-34.4045959906
41.8,-34.0665223969
41.9,-33.7322374415
42.0,-33.4016113205
42.1,-33.0745191677
42.2,-32.7508407947
42.3,-32.4304604462
42.4,-32.1132665696
42.5,-31.7991515974
42.6,-31.488011743
42.7,-31.1797468068
42.8,-30.8742599941
42.9,-30.5714577424
43.0,-30.2712495586
43.1,-29.973547865
43.2,-29.6782678535
43.3,-29.3853273476
43.4,-29.0946466715
43.5,-28.806148527
43.6,-28.5197578754
43.7,-28.2354018268
43.8,-27.9530095343
43.9,-27.6725120938
44.0,-27.3938424492
44.1,-27.1169353015
44.2,-26.8417270233
44.3,-26.5681555772
44.4,-26.2961604381
44.5,-26.0256825191
44.6,-25.7566641014
44.7,-25.4890487673
44.8,-25.2227813365
44.9,-24.9578078047
45.0,-24.6940752867
45.1,-24.4315319598
45.2,-24.1701270122
45.3,-23.9098105916
45.4,-23.6505337578
45.5,-23.3922484361
45.6,-23.1349073738
45.7,-22.8784640976
45.8,-22.6228728739
45.9,-22.3680886695
46.0,-22.1140671152
46.1,-21.8607644701
46.2,-21.6081375877
46.3,-21.3561438831
46.4,-21.1047413016
46.5,-20.853888289
46.6,-20.6035437618
46.7,-20.3536670802
46.8,-20.1042180204
46.9,-19.8551567493
47.0,-19.606443799
47.1,-19.358040043
47.2,-19.1099066726
47.3,-18.8620051745
47.4,-18.6142973086
47.5,-18.3667450874
47.6,-18.1193107548
47.7,-17.8719567663
47.8,-17.6246457699
47.9,-17.3773405865
48.0,-17.1300041923
48.1,-16.8825997
48.2,-16.635090342
48.3,-16.3874394524
48.4,-16.1396104508
48.5,-15.8915668257
48.6,-15.643272118
48.7,-15.3946899053
48.8,-15.1457837862
48.9,-14.8965173648
49.0,-14.6468542357
49.1,-14.3967579684
49.2,-14.1461920929
49.3,-13.8951200848
49.4,-13.6435053505
49.5,-13.3913112127
49.6,-13.138500896
49.7,-12.8850375124
49.8,-12.6308840469
49.9,-12.3760033434
50.0,-12.1203580898
50.1,-11.8639108041
50.2,-11.6066238198
50.3,-11.3484592714
50.4,-11.0893790802
50.5,-10.8293449391
50.6,-10.5683182984
50.7,-10.306260351
50.8,-10.043132017
50.9,-9.778893929
51.0,-9.5135064169
51.1,-9.246929492
51.2,-8.9791228319
51.3,-8.7100457643
51.4,-8.4396572512
51.5,-8.1679158724
51.6,-7.8947798089
51.7,-7.6202068263
51.8,-7.3441542573
51.9,-7.0665789846
52.0,-6.7874374228
