lam,c0
15.2,1.8627019731
15.3,1.9405288522
15.4,2.0293427722
15.5,2.1315455064
15.6,2.2502923992
15.7,2.3898131056
15.8,2.5559119153
15.9,2.7567763289
16.0,3.004340476
16.1,3.316705721
16.2,3.7227165037
16.3,4.2713194036
16.4,5.0527715507
16.5,6.2538789802
16.6,8.3342278433
16.7,12.8103603009
16.8,29.4043412128
16.9,-81.3179831806
17.0,-16.3960356684
17.1,-8.9114815495
17.2,-6.0195067103
17.3,-4.4864359958
17.4,-3.5373251575
17.5,-2.892344627
17.6,-2.4258253547
17.7,-2.0729495032
17.8,-1.7968959819
17.9,-1.5751978072
18.0,-1.3933684902
18.1,-1.2416477361
18.2,-1.1132192089
18.3,-1.0031785231
18.4,-0.9079067181
18.5,-0.8246750511
18.6,-0.7513871149
18.7,-0.6864057079
18.8,-0.628433623
18.9,-0.5764297559
19.0,-0.5295488712
19.1,-0.4870976092
19.2,-0.4485018491
19.3,-0.4132821375
19.4,-0.3810349372
19.5,-0.3514181908
19.6,-0.324140055
19.7,-0.2989499277
19.8,-0.2756315924
19.9,-0.2539973435
20.0,-0.2338835239
20.1,-0.2151467999
20.2,-0.1976610144
20.3,-0.1813148445
20.4,-0.1660095608
20.5,-0.1516573428
20.6,-0.13817981
20.7,-0.1255067621
20.8,-0.1135752276
20.9,-0.1023284027
21.0,-0.0917151541
21.1,-0.0816890348
21.2,-0.0722079966
21.3,-0.0632337829
21.4,-0.0547315398
21.5,-0.0466693884
21.6,-0.039018255
21.7,-0.0317513454
21.8,-0.0248441865
21.9,-0.01827422
22.0,-0.0120206017
22.1,-0.0060641566
22.2,-0.0003871514
22.3,0.0050268768
22.4,0.010193136
22.5,0.01512581
22.6,0.0198380051
22.7,0.0243419727
22.8,0.0286491174
22.9,0.0327700801
23.0,0.0367148003
23.1,0.0404925729
23.2,0.0441120991
23.3,0.0475815329
23.4,0.0509085232
23.5,0.0541002521
23.6,0.0571634695
23.7,0.060104475
23.8,0.0629293473
23.9,0.0656436699
24.0,0.0682527417
24.1,0.0707615907
24.2,0.0731749558
24.3,0.0754973174
24.4,0.0777329144
24.5,0.079885761
24.6,0.0819596609
24.7,0.0839582214
24.8,0.0858848656
24.9,0.0877428443
25.0,0.089535247
25.1,0.0912650114
25.2,0.0929349332
25.3,0.0945476746
25.4,0.0961057725
25.5,0.0976116455
25.6,0.0990676017
25.7,0.1004758444
25.8,0.1018384789
25.9,0.1031575176
26.0,0.1044348859
26.1,0.1056724266
26.2,0.1068719031
26.3,0.1080350022
26.4,0.1091633552
26.5,0.1102585699
26.6,0.1113220233
26.7,0.1123552455
26.8,0.1133595951
26.9,0.1143364093
27.0,0.1152869695
27.1,0.1162124531
27.2,0.1171141527
27.3,0.1179931698
27.4,0.1188506165
27.5,0.1196875683
27.6,0.1205050658
27.7,0.1213041171
27.8,0.1220856992
27.9,0.1228507605
28.0,0.1236002218
28.1,0.1243349784
28.2,0.1250559019
28.3,0.125763841
28.4,0.1264596238
28.5,0.1271440585
28.6,0.127817936
28.7,0.1284820293
28.8,0.1291370964
28.9,0.1297838794
29.0,0.1304231132
29.1,0.131055513
29.2,0.1316817873
29.3,0.1323026351
29.4,0.1329187465
29.5,0.1335307853
29.6,0.134139479
29.7,0.1347454602
29.8,0.1353494017
29.9,0.1359519704
30.0,0.1365538306
30.1,0.1371556425
30.2,0.1377580971
30.3,0.1383618023
30.4,0.1389674666
30.5,0.1395757583
30.6,0.1401873534
30.7,0.1408029357
30.8,0.1414231976
30.9,0.1420488408
31.0,0.14268059
31.1,0.1433191363
31.2,0.1439652479
31.3,0.1446196726
31.4,0.1452831801
31.5,0.1459565602
31.6,0.1466406232
31.7,0.1473361911
31.8,0.1480441789
31.9,0.148765368
32.0,0.1495007552
32.1,0.1502512812
32.2,0.1510178609
32.3,0.1518015971
32.4,0.1526042928
32.5,0.1534256048
32.6,0.154267373
32.7,0.1551307961
32.8,0.1560171385
32.9,0.1569277193
33.0,0.1578639115
33.1,0.1588272054
33.2,0.1598191042
33.3,0.1608412342
33.4,0.1618953013
33.5,0.1629831083
33.6,0.1641065674
33.7,0.1652677162
