lam,d0_10,d0_50,d0_100,d0_190
10.4,-2.9402266640290446,-8.629456368383996,-10.80955860504131,-12.01441544168418
10.5,-2.9402254859310615,-8.629456440337584,-10.809595105092411,-12.01463780002338
10.6,-2.940224360549116,-8.629456483173158,-10.809629824551823,-12.014849561100059
10.7,-2.9402232850812267,-8.629456499911921,-10.809662866457794,-12.015051325137541
10.8,-2.940222256897406,-8.629456493292558,-10.80969432697047,-12.015243653074084
10.9,-2.9402212735277224,-8.629456465798155,-10.809724295889763,-12.015427069473771
11.0,-2.940220332651274,-8.629456419680317,-10.809752857131723,-12.015602065196996
11.1,-2.9402194320860215,-8.629456356981,-10.80978008916405,-12.01576909985247
11.2,-2.940218569779378,-8.62945627955213,-10.809806065406361,-12.015928604050304
11.3,-2.940217743799521,-8.629456189073327,-10.809830854597337,-12.016080981474074
11.4,-2.9402169523273476,-8.629456087067888,-10.80985452113199,-12.016226610787818
11.5,-2.9402161936490314,-8.629455974917251,-10.80987712537273,-12.016365847392402
11.6,-2.940215466149125,-8.629455853874033,-10.809898723934579,-12.016499025044435
11.7,-2.940214768304161,-8.62945572507384,-10.809919369948313,-12.016626457349572
11.8,-2.94021409867673,-8.62945558954599,-10.809939113303468,-12.01674843914084
11.9,-2.9402134559099666,-8.629455448223135,-10.809958000871744,-12.016865247751925
12.0,-2.94021283872245,-8.62945530195007,-10.809976076713722,-12.016977144194007
12.1,-2.9402122459034383,-8.629455151491682,-10.809993382269562,-12.017084374244423
12.2,-2.9402116763084614,-8.629454997540142,-10.810009956535483,-12.017187169454225
12.3,-2.9402111288552164,-8.629454840721444,-10.810025836226998,-12.017285748081514
12.4,-2.9402106025197288,-8.629454681601368,-10.810041055929734,-12.017380315956325
12.5,-2.9402100963327986,-8.629454520690874,-10.810055648239128,-12.017471067282816
12.6,-2.940209609376682,-8.629454358450978,-10.81006964389077,-12.01755818538363
12.7,-2.940209140781994,-8.62945419529724,-10.810083071879722,-12.017641843391113
12.8,-2.9402086897248156,-8.62945403160382,-10.810095959572692,-12.017722204889482
12.9,-2.9402082554240114,-8.629453867707147,-10.810108332811483,-12.01779942451187
13.0,-2.940207837138697,-8.62945370390929,-10.810120216009045,-12.01787364849567
13.1,-2.9402074341658966,-8.629453540481023,-10.810131632239003,-12.017945015199434
13.2,-2.940207045838342,-8.629453377664612,-10.810142603319134,-12.01801365558426
13.3,-2.9402066715224193,-8.629453215676355,-10.810153149888478,-12.018079693662306
13.4,-2.9402063106162397,-8.629453054708875,-10.810163291479634,-12.018143246914985
13.5,-2.9402059625478416,-8.629452894933285,-10.810173046586014,-12.018204426683043
